epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,69921.5,0.78658,0.63865,0.95437,0.90796,0.75113,0.84824,0.68787,0.73967,0.59794,0.93547,0.0071686,0.0071686,0.0071686
145,70412.6,0.79465,0.63953,0.95397,0.87364,0.77185,0.85142,0.68667,0.73823,0.59754,0.93518,0.0071488,0.0071488,0.0071488
146,70911.8,0.78294,0.63416,0.95293,0.89241,0.76585,0.85734,0.68816,0.73645,0.59258,0.93519,0.007129,0.007129,0.007129
147,71372.6,0.78608,0.62183,0.95192,0.88979,0.77681,0.86234,0.6908,0.73627,0.5902,0.93477,0.0071092,0.0071092,0.0071092
148,71883.5,0.78767,0.62208,0.95381,0.91511,0.75023,0.85039,0.69014,0.73579,0.58913,0.93458,0.0070894,0.0070894,0.0070894
149,72403,0.78404,0.6233,0.95051,0.91863,0.7491,0.85048,0.69162,0.736,0.5894,0.93447,0.0070696,0.0070696,0.0070696
150,72886.8,0.78672,0.62863,0.94877,0.81893,0.81814,0.85224,0.69188,0.73701,0.5897,0.93512,0.0070498,0.0070498,0.0070498
151,73449.6,0.77358,0.60702,0.94422,0.81658,0.81616,0.85727,0.69557,0.73757,0.5902,0.93524,0.00703,0.00703,0.00703
152,74026.5,0.78501,0.62128,0.95193,0.82075,0.81143,0.85492,0.69492,0.73724,0.58849,0.93512,0.0070102,0.0070102,0.0070102
153,74595.7,0.78007,0.61457,0.94992,0.82821,0.80807,0.8559,0.69543,0.73704,0.58787,0.93496,0.0069904,0.0069904,0.0069904
154,75128.5,0.77659,0.60775,0.95186,0.83639,0.80242,0.85586,0.69434,0.73664,0.58515,0.93499,0.0069706,0.0069706,0.0069706
155,75644.9,0.77685,0.61491,0.94832,0.84468,0.80084,0.85614,0.69529,0.73649,0.58311,0.93473,0.0069508,0.0069508,0.0069508
156,76165.7,0.77441,0.613,0.95023,0.84992,0.80675,0.85952,0.69603,0.73599,0.58397,0.93453,0.006931,0.006931,0.006931
157,76677.2,0.77254,0.61076,0.94689,0.84911,0.80687,0.86298,0.69803,0.73633,0.5829,0.93457,0.0069112,0.0069112,0.0069112
158,77211.5,0.77576,0.60677,0.9525,0.85963,0.81749,0.86826,0.69803,0.73711,0.58278,0.93451,0.0068914,0.0068914,0.0068914
